"Footing Width, B (m)",Footing Length L (m),"Footing Depth, Df (m)","Friction Angle, ?0","Average Effective Unit Weight, g (kN/m3)","Cohesion, c (kN/m2)","Effective Stress, q (/s) (kN/m2)","Ultimate Bearing Capacity, qu (kN/m2)"
3.1,3.1,1.3,0,0.849,77,11.8,502
0.26,0.26,1.5,0,3.412,89,13.94733333,813
0.26,0.26,1.5,0,3.412,97,13.94733333,882
0.26,0.26,1.5,0,3.412,80,13.94733333,734
0.26,0.26,1.5,0,3.412,42,13.94733333,382
0.26,0.26,1.5,0,3.412,25,13.94733333,225
0.26,0.26,1.5,0,6.463,112,20.48509091,1021
0.26,0.26,1.5,0,6.463,105,20.48509091,963
0.26,0.26,1.5,0,6.463,92,20.48509091,844
2.2,2.2,0.78,0,6.992,30,12.688,205
2,2,1.6,0,5.761,15,22.95228571,120
0.67,0.67,0.61,0,19.672,93,12,754
0.67,0.67,0.61,0,19.672,95,12,774
